smiles,ID,endpoint,MW,cano_smiles
CC(C)C#N,71,1,69.06,CC(C)C#N
CCC1CO1,72,1,72.06,CCC1CO1
ClCC1CO1,73,1,92,ClCC1CO1
C\C=C\C=O,74,1,70.04,C/C=C/C=O
CC(O)CCl,75,1,94.02,CC(O)CCl
BrCC(=O)Br,77,1,199.85,O=C(Br)CBr
CC1OC1C,78,1,72.06,CC1OC1C
ClCOCCl,80,1,113.96,ClCOCCl
FCC1CO1,81,1,76.03,FCC1CO1
O=CCC=O,82,1,72.02,O=CCC=O
CC1(C)CO1,83,1,72.06,CC1(C)CO1
O=CC1CO1,84,1,72.02,O=CC1CO1
BrCC1CO1,86,1,135.95,BrCC1CO1
CN\N=N\C,87,1,73.06,C/N=N/NC
N[Pt](N)(Cl)Cl,88,1,296.94,N[Pt](N)(Cl)Cl
CC(O)CBr,90,1,137.97,CC(O)CBr
ClC[C@@H]1CO1,91,1,92,ClC[C@@H]1CO1
ClC(Br)C#N,92,1,152.9,N#CC(Cl)Br
CC(=C=O)Cl,94,1,89.99,CC(Cl)=C=O
OC\C=C/Cl,95,1,92,OC/C=C\Cl
C[C@@H]1O[C@H]1C,100,1,72.06,C[C@@H]1O[C@H]1C
[K+].CNN=O,101,1,99,CNN=O.[K+]
BrC(=C)C=O,103,1,133.94,C=C(Br)C=O
ClC(Cl)(Cl)Br,105,1,195.82,ClC(Cl)(Cl)Br
CC(=C)C=O,106,1,70.04,C=C(C)C=O
NC(=O)NO,108,1,76.03,NC(=O)NO
CCCCBr,109,1,135.99,CCCCBr
CC(=O)NN,110,1,74.05,CC(=O)NN
C[C@@H]1O[C@@H]1C,111,1,72.06,C[C@@H]1O[C@@H]1C
C\C=C/C=O,112,1,70.04,C/C=C\C=O
[O-][N+](=O)CCl,113,1,94.98,O=[N+]([O-])CCl
ClC(Cl)C#N,114,1,108.95,N#CC(Cl)Cl
CC(=O)NO,115,1,75.03,CC(=O)NO
OC(=O)C=O,116,1,74,O=CC(=O)O
BrCC(=C)Br,117,1,197.87,C=C(Br)CBr
COCC=O,118,1,74.04,COCC=O
ClCC(=C)Cl,119,1,109.97,C=C(Cl)CCl
ClC[C@H]1CO1,120,1,92,ClC[C@H]1CO1
OCCCBr,122,1,137.97,OCCCBr
CCCOO,123,1,76.05,CCCOO
ClC\C=C/Cl,124,1,109.97,Cl/C=C\CCl
CC(=O)C=C,125,1,70.04,C=CC(C)=O
FC(F)(F)I,126,1,195.9,FC(F)(F)I
O=C1CCO1,127,1,72.02,O=C1CCO1
ClCCCBr,128,1,155.93,ClCCCBr
CC(C)(C)Br,129,1,135.99,CC(C)(C)Br
CC(Cl)CO,130,1,94.02,CC(Cl)CO
[K+].OCN=N,133,1,99,N=NCO.[K+]
OC[C@@H]1CO1,134,1,74.04,OC[C@@H]1CO1
CNC(=O)ON,135,1,90.04,CNC(=O)ON
CC\C(=N/O)\C,136,1,87.07,CC/C(C)=N\O
CCC12OC1O2,138,1,86.04,CCC12OC1O2
OC[C@H](Cl)CCl,139,1,127.98,OC[C@H](Cl)CCl
C\C(=C/C=O)\Cl,140,1,104,C/C(Cl)=C\C=O
COS(=O)(=O)F,141,1,113.98,COS(=O)(=O)F
OCC(Cl)(Cl)Cl,142,1,147.92,OCC(Cl)(Cl)Cl
COP(=O)OC,143,1,110.01,CO[PH](=O)OC
C1CSCCS1,144,1,120.01,C1CSCCS1
ClC(Cl)(Cl)C=O,145,1,145.91,O=CC(Cl)(Cl)Cl
BrCC(Br)(Br)Br,146,1,341.69,BrCC(Br)(Br)Br
NC(=S(=O)=O)N,147,1,108,NC(N)=S(=O)=O
CN(N=O)C#N,148,1,85.03,CN(C#N)N=O
C[Si](Cl)(Cl)C=C,149,1,139.96,C=C[Si](C)(Cl)Cl
C1O[C@H]1[C@H]2CO2,150,1,86.04,C1O[C@H]1[C@H]1CO1
ClC[C@H](Br)CBr,151,1,233.84,ClC[C@H](Br)CBr
NC(=N)NC#N,152,1,84.04,N#CNC(=N)N
BrCC(Br)CBr,154,1,277.79,BrCC(Br)CBr
C[C@H]1CC(=O)O1,155,1,86.04,C[C@H]1CC(=O)O1
OCCN1CC1,156,1,87.07,OCCN1CC1
COC[C@H]1CO1,157,1,88.05,COC[C@H]1CO1
ClCC(Br)CCl,158,1,189.9,ClCC(Br)CCl
OC(=O)[C@@H](Cl)Br,159,1,171.89,O=C(O)[C@@H](Cl)Br
OCCN=N#N,160,1,87.04,[N-]=[N+]=NCCO
BrC\C=C/CBr,161,1,211.88,BrC/C=C\CBr
CCN(C)N=O,162,1,88.06,CCN(C)N=O
CC(=[N+]([O-])[O-])C,163,1,88.04,CC(C)=[N+]([O-])[O-]
ClSC(Cl)(Cl)Cl,164,1,183.85,ClSC(Cl)(Cl)Cl
ClC[C@H](Cl)CBr,165,1,189.9,ClC[C@H](Cl)CBr
OCCCN=N,166,1,88.06,N=NCCCO
COCCOC,167,1,90.07,COCCOC
ClC(CBr)CBr,168,1,233.84,ClC(CBr)CBr
OC[C@H](O)CI,169,1,201.95,OC[C@H](O)CI
OC[C@H](Br)CBr,170,1,215.88,OC[C@H](Br)CBr
C=CCN=C=S,171,1,99.01,C=CCN=C=S
OC[C@H](O)CCl,172,1,110.01,OC[C@H](O)CCl
OCC(Br)CBr,173,1,215.88,OCC(Br)CBr
OC(=O)CCCl,174,1,108,O=C(O)CCCl
CC(Br)C(=O)O,175,1,151.95,CC(Br)C(=O)O
OCC(Cl)CCl,176,1,127.98,OCC(Cl)CCl
NOS(=O)(=O)O,179,1,112.98,NOS(=O)(=O)O
CC1CC(=O)O1,180,1,86.04,CC1CC(=O)O1
[Mn+2].OS(=O)(=O)O,182,1,152.9,O=S(=O)(O)O.[Mn+2]
[Sr+2].O[Cr](=O)(=O)O,183,1,205.84,O=[Cr](=O)(O)O.[Sr+2]
[Ca+2].O[Cr](=O)(=O)O,184,1,157.9,O=[Cr](=O)(O)O.[Ca+2]
OCCCCCl,185,1,108.03,OCCCCCl
OCC(O)CI,186,1,201.95,OCC(O)CI
C[N+](=NCO)[O-],187,1,90.04,C[N+]([O-])=NCO
CCOCCCl,188,1,108.03,CCOCCCl
OC(C=C)C=C,189,1,84.06,C=CC(O)C=C
OCCN=[N+]=[N-],191,1,87.04,[N-]=[N+]=NCCO
OC(=O)C(Cl)Br,192,1,171.89,O=C(O)C(Cl)Br
[Zn+2].O[Cr](=O)(=O)O,193,1,181.86,O=[Cr](=O)(O)O.[Zn+2]
[H+].[H+].[Cl-].[Cl-].CNNC,194,1,132.02,CNNC.[Cl-].[Cl-].[H+].[H+]
C1O[C@@H]1[C@H]2CO2,195,1,86.04,C1O[C@@H]1[C@H]1CO1
NC(=N)[S+]([O-])[O-],196,1,106.99,N=C(N)[S+]([O-])[O-]
C[C-](C)[N+](=O)[O-],197,1,88.04,C[C-](C)[N+](=O)[O-]
Cl[C@@H]1O[C@@H]1CBr,199,1,169.91,Cl[C@@H]1O[C@@H]1CBr
CCCON=O,200,1,89.05,CCCON=O
C\C=C(/C)\CCl,201,1,104.04,C/C=C(\C)CCl
CC(Cl)C(=C)C,202,1,104.04,C=C(C)C(C)Cl
ClC(Cl)C(=O)Cl,203,1,145.91,O=C(Cl)C(Cl)Cl
CCCCOO,204,1,90.07,CCCCOO
ClC(=CC=O)Cl,205,1,123.95,O=CC=C(Cl)Cl
ClCC(=O)CCl,207,1,125.96,O=C(CCl)CCl
CC(=O)C(=C)Br,208,1,147.95,C=C(Br)C(C)=O
CCC(=C)C=O,209,1,84.06,C=C(C=O)CC
BrCCCCBr,210,1,213.9,BrCCCCBr
C\C=C(/Cl)\C=O,211,1,104,C/C=C(\Cl)C=O
OCC[N+](=O)[O-],212,1,91.03,O=[N+]([O-])CCO
OC(=O)C(Cl)Cl,213,1,127.94,O=C(O)C(Cl)Cl
OC(=O)\C=C\Cl,214,1,105.98,O=C(O)/C=C/Cl
ClCC(Cl)CCl,216,1,145.95,ClCC(Cl)CCl
CCC(=O)C=C,218,1,84.06,C=CC(=O)CC
CC(C)(C)OO,219,1,90.07,CC(C)(C)OO
BrCC(Br)C=O,220,1,213.86,O=CC(Br)CBr
CN(C=O)N=O,221,1,88.03,CN(C=O)N=O
COS(=O)(=O)C,222,1,110,COS(C)(=O)=O
O=C\C=C\C=O,223,1,84.02,O=C/C=C/C=O
NC(=O)C1CO1,224,1,87.03,NC(=O)C1CO1
ClC\C=C\CCl,225,1,123.98,ClC/C=C/CCl
BrCCC(Br)Br,226,1,277.79,BrCCC(Br)Br
OC(CCl)CCl,227,1,127.98,OC(CCl)CCl
CN1CCN=N1,229,1,85.06,CN1CCN=N1
CN(C)CCCl,230,1,107.05,CN(C)CCCl
CN(C)C(=O)Cl,231,1,107.01,CN(C)C(=O)Cl
CC(=O)C(Cl)Cl,232,1,125.96,CC(=O)C(Cl)Cl
OCCSN=O,233,1,107,O=NSCCO
CC(C)[N+](=O)[O-],234,1,89.05,CC(C)[N+](=O)[O-]
CC(Br)C(=O)N,235,1,150.96,CC(Br)C(N)=O
CC(=O)C(=O)C,236,1,86.04,CC(=O)C(C)=O
C1CSCSC1,237,1,120.01,C1CSCSC1
ClC1OC1CBr,238,1,169.91,ClC1OC1CBr
CC\C=C\C=O,240,1,84.06,CC/C=C/C=O
C1OC1C2CO2,242,1,86.04,C1OC1C1CO1
ClCC(Br)CBr,243,1,233.84,ClCC(Br)CBr
[K+].CCNN=O,244,1,113.01,CCNN=O.[K+]
CCNN=NCC,245,1,101.1,CCN=NNCC
CCOC[C@H]1CO1,246,1,102.07,CCOC[C@H]1CO1
BrCCCCCBr,247,1,227.91,BrCCCCCBr
O1[C@@H]2C=CC=C[C@H]12,249,1,94.04,C1=C[C@@H]2O[C@@H]2C=C1
C\C=C/C=C\C=O,250,1,96.06,C/C=C\C=C/C=O
CCN(N=O)C#N,251,1,99.04,CCN(C#N)N=O
OC(=O)C(Br)(Br)Br,252,1,293.75,O=C(O)C(Br)(Br)Br
ClC(Cl)(Cl)[C@@H]1CO1,253,1,159.92,ClC(Cl)(Cl)[C@@H]1CO1
CC[C@@H](Cl)[N+](=O)[O-],254,1,123.01,CC[C@@H](Cl)[N+](=O)[O-]
C1CC[C@H]2O[C@H]2C1,255,1,98.07,C1CC[C@H]2O[C@H]2C1
ClCCNCCCl,256,1,141.01,ClCCNCCCl
C[C@H](Cl)CN(C)C,257,1,121.07,C[C@H](Cl)CN(C)C
ClCC(Cl)C(=C)Cl,258,1,157.95,C=C(Cl)C(Cl)CCl
CCCSC(=O)Cl,259,1,137.99,CCCSC(=O)Cl
C[Si](C)(C)N=N#N,260,1,115.06,C[Si](C)(C)N=[N+]=[N-]
CC[C@@H](C)ON=O,261,1,103.06,CC[C@@H](C)ON=O
CC(=O)OCC=C,262,1,100.05,C=CCOC(C)=O
COC(=O)C(=C)Cl,264,1,120,C=C(Cl)C(=O)OC
NC(=O)NCC=C,265,1,100.06,C=CCNC(N)=O
N[C@H](CS)C(=O)O,266,1,121.02,N[C@H](CS)C(=O)O
Cc1cc(N)sn1,267,1,114.03,Cc1cc(N)sn1
NC(=O)C[C@H]1CO1,268,1,101.05,NC(=O)C[C@H]1CO1
[O-][N+](=O)C(Br)(Br)Br,269,1,294.75,O=[N+]([O-])C(Br)(Br)Br
ClC(=O)C(Cl)(Cl)Cl,271,1,179.87,O=C(Cl)C(Cl)(Cl)Cl
CC(=O)CC(=O)C,272,1,100.05,CC(=O)CC(C)=O
[Na+].CN(C)C(=S)S,273,1,143.99,CN(C)C(=S)S.[Na+]
C1CCC2OC2C1,274,1,98.07,C1CCC2OC2C1
ClCC(=O)C(Cl)Cl,275,1,159.92,O=C(CCl)C(Cl)Cl
C[Si](C)(C)N=[N+]=[N-],276,1,115.06,C[Si](C)(C)N=[N+]=[N-]
[K+].[K+].O[Cr](=O)(=O)O,277,1,195.86,O=[Cr](=O)(O)O.[K+].[K+]
[K+].[K+].Cl[Pt-2](Cl)(Cl)Cl,278,1,412.77,Cl[Pt-2](Cl)(Cl)Cl.[K+].[K+]
[Na+].[Na+].O[Se](=O)(=O)O,280,1,191.89,O=[Se](=O)(O)O.[Na+].[Na+]
NC(CS)C(=O)O,281,1,121.02,NC(CS)C(=O)O
C\C=C\C=C\C=O,282,1,96.06,C/C=C/C=C/C=O
CCOC(=O)NO,283,1,105.04,CCOC(=O)NO
CCC(Cl)[N+](=O)[O-],284,1,123.01,CCC(Cl)[N+](=O)[O-]
O=NN1CCCC1,285,1,100.06,O=NN1CCCC1
ClC(Cl)(Cl)C1CO1,286,1,159.92,ClC(Cl)(Cl)C1CO1
CC(=C(Cl)C=O)C,287,1,118.02,CC(C)=C(Cl)C=O
CN(CO)[N+](=O)[O-],288,1,106.04,CN(CO)[N+](=O)[O-]
CCN\N=N\CC,289,1,101.1,CC/N=N/NCC
CCC(C)ON=O,290,1,103.06,CCC(C)ON=O
CCOCC1CO1,291,1,102.07,CCOCC1CO1
O1C2C=CC=CC12,292,1,94.04,C1=CC2OC2C=C1
CCCCN=[N+]=[N-],293,1,99.08,CCCCN=[N+]=[N-]
[Cl-].[Cl-].[Pt+2].NCCN,294,1,324.97,NCCN.[Cl-].[Cl-].[Pt+2]
[H+].[Cl-].CNC(=O)ON,295,1,126.02,CNC(=O)ON.[Cl-].[H+]
C\C=C/C=C/C=O,296,1,96.06,C/C=C\C=C\C=O
NN.OS(=O)(=O)O,297,1,130,NN.O=S(=O)(O)O
NCCNCCO,298,1,104.09,NCCNCCO
O=S1(=O)CCCO1,299,1,122,O=S1(=O)CCCO1
CC(O)\C=C\C=O,300,1,100.05,CC(O)/C=C/C=O
OCC(O)C1CO1,304,1,104.05,OCC(O)C1CO1
C=CCCC1CO1,305,1,98.07,C=CCCC1CO1
COC(=O)C(Cl)Cl,306,1,141.96,COC(=O)C(Cl)Cl
ClC(=C(Cl)C=O)Cl,308,1,157.91,O=CC(Cl)=C(Cl)Cl
CC(=O)C(Cl)(Cl)Cl,309,1,159.92,CC(=O)C(Cl)(Cl)Cl
COC(=O)C(C)Cl,310,1,122.01,COC(=O)C(C)Cl
CC(Br)C(Br)CCl,312,1,247.86,CC(Br)C(Br)CCl
CC(Cl)(Cl)[N+](=O)[O-],313,1,142.95,CC(Cl)(Cl)[N+](=O)[O-]
CC1(C)COC1=O,314,1,100.05,CC1(C)COC1=O
Fc1ccccn1,315,1,97.03,Fc1ccccn1
CCCCON=O,316,1,103.06,CCCCON=O
COS(=O)(=O)OC,317,1,126,COS(=O)(=O)OC
ClCCSCCCl,318,1,157.97,ClCCSCCCl
OC(O)C(Cl)(Cl)Cl,319,1,163.92,OC(O)C(Cl)(Cl)Cl
CN(N=O)C(=O)N,320,1,103.04,CN(N=O)C(N)=O
CCN1CCN=N1,321,1,99.08,CCN1CCN=N1
CC(C)(Cl)[N+](=O)[O-],322,1,123.01,CC(C)(Cl)[N+](=O)[O-]
CCN(C=O)N=O,323,1,102.04,CCN(C=O)N=O
Cl\C=C(/Cl)\C(Cl)Cl,325,1,177.89,Cl/C=C(\Cl)C(Cl)Cl
CCN(CC)N=O,326,1,102.08,CCN(CC)N=O
CCC\C=C\C=O,327,1,98.07,CCC/C=C/C=O
CC(Cl)C(Br)CBr,328,1,247.86,CC(Cl)C(Br)CBr
CC1(CO1)C2CO2,329,1,100.05,CC1(C2CO2)CO1
CCOC(=O)CBr,330,1,165.96,CCOC(=O)CBr
O=CCCCC=O,331,1,100.05,O=CCCCC=O
COC1OC1(C)C,332,1,102.07,COC1OC1(C)C
CCCC(=C)C=O,333,1,98.07,C=C(C=O)CCC
CC(C)(C)ON=O,334,1,103.06,CC(C)(C)ON=O
CC1(CO1)C(=O)N,335,1,101.05,CC1(C(N)=O)CO1
NC(=O)OC1CO1,336,1,103.03,NC(=O)OC1CO1
ClCCOCCCl,337,1,142,ClCCOCCCl
[Na+].[Na+].O[Cr](=O)(=O)O,338,1,163.91,O=[Cr](=O)(O)O.[Na+].[Na+]
[K+].OCCCN=N,339,1,127.03,N=NCCCO.[K+]
O[C@@H]1CCN(C1)N=O,340,1,116.06,O=NN1CC[C@@H](O)C1
C[N+](C)(C)CC1CO1,341,1,116.11,C[N+](C)(C)CC1CO1
Cc1cncc(C)n1,342,1,108.07,Cc1cncc(C)n1
O=NN1CCC=CC1,343,1,112.06,O=NN1CC=CCC1
C=CCOC[C@H]1CO1,344,1,114.07,C=CCOC[C@H]1CO1
Oc1cnnc(O)n1,345,1,113.02,Oc1cnnc(O)n1
FC(F)(F)COC=C,346,1,126.03,C=COCC(F)(F)F
Nc1ccccc1S,348,1,125.03,Nc1ccccc1S
OC[C@@H](O)CN=[N+]=[N-],349,1,117.05,[N-]=[N+]=NC[C@H](O)CO
O=C\C=C\C=C\C=O,350,1,110.04,O=C/C=C/C=C/C=O
CNC(=O)N(C)N=O,351,1,117.05,CNC(=O)N(C)N=O
CN1SC(=CC1=O)Cl,352,1,148.97,Cn1sc(Cl)cc1=O
OC(=O)CCN=N#N,354,1,115.04,[N-]=[N+]=NCCC(=O)O
ClC(Cl)(Cl)C[C@H]1CO1,355,1,173.94,ClC(Cl)(Cl)C[C@H]1CO1
CC(C)OC[C@H]1CO1,356,1,116.08,CC(C)OC[C@H]1CO1
ClCc1cccnc1,357,1,127.02,ClCc1cccnc1
C1CC2(CCO1)CO2,358,1,114.07,C1CC2(CCO1)CO2
CCOCCOCC,360,1,118.1,CCOCCOCC
O=S1(=O)CCCCO1,361,1,136.02,O=S1(=O)CCCCO1
CNC(=N)N[N+](=O)[O-],362,1,118.05,CNC(=N)N[N+](=O)[O-]
NC(=O)N=NC(=O)N,363,1,116.03,NC(=O)N=NC(N)=O
NNc1ccccc1,364,1,108.07,NNc1ccccc1
C[C@H](CCC#N)C#N,365,1,108.07,C[C@@H](C#N)CCC#N
FC(Cl)(Cl)C(F)(Cl)Cl,366,1,201.87,FC(Cl)(Cl)C(F)(Cl)Cl
O=S1(=O)OCCCO1,367,1,138,O=S1(=O)OCCCO1
C[C@@H]1CNC[C@@H](C)O1,368,1,115.1,C[C@@H]1CNC[C@@H](C)O1
C[C@@H](O)CN(C)N=O,369,1,118.07,C[C@@H](O)CN(C)N=O
Nc1ccccc1O,370,1,109.05,Nc1ccccc1O
O=NN1CCSCC1,371,1,132.04,O=NN1CCSCC1
CC(=O)c1ccc[nH]1,372,1,109.05,CC(=O)c1ccc[nH]1
OCC(O)CN=N#N,375,1,117.05,[N-]=[N+]=NCC(O)CO
OCNC(=O)NCO,376,1,120.05,O=C(NCO)NCO
O=NN1CCNCC1,377,1,115.07,O=NN1CCNCC1
CN=NC(C)(C)OO,378,1,118.07,CN=NC(C)(C)OO
CC(O)C(N)C(=O)O,379,1,119.06,CC(O)C(N)C(=O)O
C=CCOCC1CO1,380,1,114.07,C=CCOCC1CO1
OC(=O)C1CCCN1,381,1,115.06,O=C(O)C1CCCN1
ClC(Cl)(Cl)CC1CO1,382,1,173.94,ClC(Cl)(Cl)CC1CO1
FC(F)(Br)C(F)(F)I,383,1,305.82,FC(F)(Br)C(F)(F)I
O=C1NN=CC(=O)N1,384,1,113.02,O=c1cn[nH]c(=O)[nH]1
CC(C)OCC1CO1,385,1,116.08,CC(C)OCC1CO1
OC(=O)CCN=[N+]=[N-],386,1,115.04,[N-]=[N+]=NCCC(=O)O
[O-][N+](=O)[C-]1CCCC1,387,1,114.06,O=[N+]([O-])[C-]1CCCC1
CC(O)CN(C)N=O,388,1,118.07,CC(O)CN(C)N=O
C[Si](C)(C)CN=[N+]=[N-],389,1,129.07,C[Si](C)(C)CN=[N+]=[N-]
N[Pt]1(N)OCC(=O)O1,390,1,301,N[Pt]1(N)OCC(=O)O1
NC(=O)\N=N\C(=O)N,391,1,116.03,NC(=O)/N=N/C(N)=O
[Cl-].ClCCNCCCl,392,1,175.98,ClCCNCCCl.[Cl-]
OC\C(=C(/Br)\CO)\Br,393,1,243.87,OC/C(Br)=C(\Br)CO
[H+].[Cl-].CN(C)CCCCl,394,1,157.04,CN(C)CCCCl.[Cl-].[H+]
[Cl-].Cc1cc(N)sn1,395,1,148.99,Cc1cc(N)sn1.[Cl-]
O=C1NC=CC(=O)N1,397,1,112.03,O=c1cc[nH]c(=O)[nH]1
O[C@@H]1C=CC=C[C@H]1O,398,1,112.05,O[C@@H]1C=CC=C[C@H]1O
C\N=N\C(C)(C)OO,399,1,118.07,C/N=N/C(C)(C)OO
CCCC(Cl)C(=O)S,400,1,152.01,CCCC(Cl)C(=O)S
BrCc1ccccc1,403,1,169.97,BrCc1ccccc1
CCCOS(=O)(=O)C,405,1,138.04,CCCOS(C)(=O)=O
CC(C)(N=O)[N+](=O)[O-],406,1,118.04,CC(C)(N=O)[N+](=O)[O-]
BrC1=C(Br)C(=O)OC1,408,1,239.84,O=C1OCC(Br)=C1Br
CC(C)OS(=O)(=O)C,409,1,138.04,CC(C)OS(C)(=O)=O
Cn1ccnc1N=O,410,1,111.04,Cn1ccnc1N=O
CCCCCON=O,411,1,117.08,CCCCCON=O
CN(CC(=O)C)N=O,412,1,116.06,CC(=O)CN(C)N=O
Nc1cccc(N)n1,413,1,109.06,Nc1cccc(N)n1
Nc1cccc(N)c1,414,1,108.07,Nc1cccc(N)c1
ONc1ccccc1,415,1,109.05,ONc1ccccc1
CC1=C(O)C(=O)CO1,416,1,114.03,CC1=C(O)C(=O)CO1
ClCC1=CC(=O)OC1,417,1,132,O=C1C=C(CCl)CO1
BrN1C(=O)CCC1=O,418,1,176.94,O=C1CCC(=O)N1Br
CC(=O)OO[N+](=O)[O-],419,1,121,CC(=O)OO[N+](=O)[O-]
C1COCC2(C1)CO2,421,1,114.07,C1COCC2(C1)CO2
ClCc1ccccc1,422,1,126.02,ClCc1ccccc1
CCN1CCOCC1,423,1,115.1,CCN1CCOCC1
Nc1ccc(F)cc1,424,1,111.05,Nc1ccc(F)cc1
Nc1ccccc1N,427,1,108.07,Nc1ccccc1N
COC(=O)C(=C)C#N,428,1,111.03,C=C(C#N)C(=O)OC
CC(=O)c1occc1,429,1,110.04,CC(=O)c1ccco1
CC(C)CCON=O,430,1,117.08,CC(C)CCON=O
CCCCC(=C)C=O,431,1,112.09,C=C(C=O)CCCC
Nc1ccc(N)cc1,432,1,108.07,Nc1ccc(N)cc1
CCN(CCO)N=O,433,1,118.07,CCN(CCO)N=O
ClCCOC(=O)C=C,436,1,134.01,C=CC(=O)OCCCl
ClC(Cl)C(=O)C(Cl)Cl,438,1,193.89,O=C(C(Cl)Cl)C(Cl)Cl
O=C1CCCCC1=O,439,1,112.05,O=C1CCCCC1=O
C(CC1CO1)C2CO2,440,1,114.07,C(CC1CO1)C1CO1
OC(=O)CC[N+](=O)[O-],442,1,119.02,O=C(O)CC[N+](=O)[O-]
CCCCN(C)N=O,443,1,116.09,CCCCN(C)N=O
CCN(N=O)C(=O)N,444,1,117.05,CCN(N=O)C(N)=O
O=C1NCNC(=O)N1,445,1,115.04,O=C1NCNC(=O)N1
CCOC(=O)N(C)C,446,1,117.08,CCOC(=O)N(C)C
OCC(O)CN=[N+]=[N-],447,1,117.05,[N-]=[N+]=NCC(O)CO
CCOC(=O)C(N)CS,450,1,149.05,CCOC(=O)C(N)CS
Cl[C@@H]1CN(C[C@H]1Cl)N=O,451,1,167.99,O=NN1C[C@@H](Cl)[C@H](Cl)C1
CCCCOC[C@H]1CO1,452,1,130.1,CCCCOC[C@H]1CO1
CN1CCN(CC1)N=O,453,1,129.09,CN1CCN(N=O)CC1
Cc1ccc(cc1)[N+]#N,454,1,119.06,Cc1ccc([N+]#N)cc1
CNc1ccc(O)cc1,455,1,123.07,CNc1ccc(O)cc1
c1ccc2[nH]nnc2c1,456,1,119.05,c1ccc2[nH]nnc2c1
O=C1C=CC(=N#N)C=C1,457,1,120.03,[N-]=[N+]=C1C=CC(=O)C=C1
O[C@H]1CCCN(C1)N=O,458,1,130.07,O=NN1CCC[C@H](O)C1
OC(=O)\C(=C(/Br)\C=O)\Br,459,1,255.84,O=C/C(Br)=C(\Br)C(=O)O
NC(CN=N#N)C(=O)O,460,1,130.05,[N-]=[N+]=NCC(N)C(=O)O
CCN(CC)[N+](=NO)[O-],461,1,133.09,CCN(CC)[N+]([O-])=NO
NC(=O)N(CCO)N=O,462,1,133.05,NC(=O)N(CCO)N=O
OC1CCN(CC1)N=O,463,1,130.07,O=NN1CCC(O)CC1
CN1CSC(=S)N(C)C1,464,1,162.03,CN1CSC(=S)N(C)C1
C=CCN(CC=C)N=O,465,1,126.08,C=CCN(CC=C)N=O
C=CC(=O)OC[C@H]1CO1,466,1,128.05,C=CC(=O)OC[C@H]1CO1
OCC(CBr)(CBr)CBr,467,1,321.82,OCC(CBr)(CBr)CBr
