smiles,endpoint
ClCCCBr,1
CC(C)(C)Br,1
CC(Cl)CO,1
BrC(Br)C#N,1
CC(=O)C=O,1
[K+].OCN=N,1
OC[C@@H]1CO1,1
CNC(=O)ON,1
CC\C(=N/O)\C,1
OCC(=O)CO,1
CCC12OC1O2,1
OC[C@H](Cl)CCl,1
C\C(=C/C=O)\Cl,1
COS(=O)(=O)F,1
OCC(Cl)(Cl)Cl,1
COP(=O)OC,1
C1CSCCS1,1
ClC(Cl)(Cl)C=O,1
BrCC(Br)(Br)Br,1
NC(=S(=O)=O)N,1
CN(N=O)C#N,1
C[Si](Cl)(Cl)C=C,1
C1O[C@H]1[C@H]2CO2,1
ClC[C@H](Br)CBr,1
NC(=N)NC#N,1
ClC(Cl)(Cl)C#N,1
BrCC(Br)CBr,1
C[C@H]1CC(=O)O1,1
OCCN1CC1,1
COC[C@H]1CO1,1
ClCC(Br)CCl,1
OC(=O)[C@@H](Cl)Br,1
OCCN=N#N,1
BrC\C=C/CBr,1
CCN(C)N=O,1
CC(=[N+]([O-])[O-])C,1
ClSC(Cl)(Cl)Cl,1
ClC[C@H](Cl)CBr,1
OCCCN=N,1
COCCOC,1
ClC(CBr)CBr,1
OC[C@H](O)CI,1
OC[C@H](Br)CBr,1
C=CCN=C=S,1
OC[C@H](O)CCl,1
OCC(Br)CBr,1
OC(=O)CCCl,1
CC(Br)C(=O)O,1
OCC(Cl)CCl,1
ClC\C=C/CCl,1
OC(=O)\C=C/Cl,1
NOS(=O)(=O)O,1
CC1CC(=O)O1,1
[K+].O[Mn](=O)(=O)=O,1
[Mn+2].OS(=O)(=O)O,1
[Sr+2].O[Cr](=O)(=O)O,1
[Ca+2].O[Cr](=O)(=O)O,1
OCCCCCl,1
OCC(O)CI,1
C[N+](=NCO)[O-],1
CCOCCCl,1
OC(C=C)C=C,1
COCC1CO1,1
OCCN=[N+]=[N-],1
OC(=O)C(Cl)Br,1
[Zn+2].O[Cr](=O)(=O)O,1
[H+].[H+].[Cl-].[Cl-].CNNC,1
C1O[C@@H]1[C@H]2CO2,1
NC(=N)[S+]([O-])[O-],1
C[C-](C)[N+](=O)[O-],1
[Fe+3].C[As](=O)(O)O,1
Cl[C@@H]1O[C@@H]1CBr,1
CCCON=O,1
C\C=C(/C)\CCl,1
CC(Cl)C(=C)C,1
ClC(Cl)C(=O)Cl,1
CCCCOO,1
ClC(=CC=O)Cl,1
[O-][N+](=O)C(Cl)Cl,1
ClCC(=O)CCl,1
CC(=O)C(=C)Br,1
CCC(=C)C=O,1
BrCCCCBr,1
C\C=C(/Cl)\C=O,1
OCC[N+](=O)[O-],1
OC(=O)C(Cl)Cl,1
OC(=O)\C=C\Cl,1
Nc1nccs1,1
ClCC(Cl)CCl,1
S=C1NCCN1,1
CCC(=O)C=C,1
CC(C)(C)OO,1
BrCC(Br)C=O,1
CN(C=O)N=O,1
COS(=O)(=O)C,1
O=C\C=C\C=O,1
NC(=O)C1CO1,1
ClC\C=C\CCl,1
BrCCC(Br)Br,1
OC(CCl)CCl,1
CN(C)[N+](=O)[O-],1
CN1CCN=N1,1
CN(C)CCCl,1
CN(C)C(=O)Cl,1
CC(=O)C(Cl)Cl,1
OCCSN=O,1
CC(C)[N+](=O)[O-],1
CC(Br)C(=O)N,1
CC(=O)C(=O)C,1
C1CSCSC1,1
ClC1OC1CBr,1
OC(=O)C(Br)Br,1
CC\C=C\C=O,1
OCC(O)CCl,1
C1OC1C2CO2,1
ClCC(Br)CBr,1
[K+].CCNN=O,1
CCNN=NCC,1
CCOC[C@H]1CO1,1
BrCCCCCBr,1
O=C1NC(=O)C=C1,1
O1[C@@H]2C=CC=C[C@H]12,1
C\C=C/C=C\C=O,1
CCN(N=O)C#N,1
OC(=O)C(Br)(Br)Br,1
ClC(Cl)(Cl)[C@@H]1CO1,1
CC[C@@H](Cl)[N+](=O)[O-],1
C1CC[C@H]2O[C@H]2C1,1
ClCCNCCCl,1
C[C@H](Cl)CN(C)C,1
ClCC(Cl)C(=C)Cl,1
CCCSC(=O)Cl,1
C[Si](C)(C)N=N#N,1
CC[C@@H](C)ON=O,1
CC(=O)OCC=C,1
Fc1ccccc1,1
COC(=O)C(=C)Cl,1
NC(=O)NCC=C,1
N[C@H](CS)C(=O)O,1
Cc1cc(N)sn1,1
NC(=O)C[C@H]1CO1,1
[O-][N+](=O)C(Br)(Br)Br,1
CCOS(=O)(=O)C,1
ClC(=O)C(Cl)(Cl)Cl,1
CC(=O)CC(=O)C,1
[Na+].CN(C)C(=S)S,1
C1CCC2OC2C1,1
ClCC(=O)C(Cl)Cl,1
C[Si](C)(C)N=[N+]=[N-],1
[K+].[K+].O[Cr](=O)(=O)O,1
[K+].[K+].Cl[Pt-2](Cl)(Cl)Cl,1
COP(=O)(N)SC,1
[Na+].[Na+].O[Se](=O)(=O)O,1
NC(CS)C(=O)O,1
C\C=C\C=C\C=O,1
CCOC(=O)NO,1
CCC(Cl)[N+](=O)[O-],1
O=NN1CCCC1,1
ClC(Cl)(Cl)C1CO1,1
CC(=C(Cl)C=O)C,1
CN(CO)[N+](=O)[O-],1
CCN\N=N\CC,1
CCC(C)ON=O,1
CCOCC1CO1,1
O1C2C=CC=CC12,1
CCCCN=[N+]=[N-],1
[Cl-].[Cl-].[Pt+2].NCCN,1
[H+].[Cl-].CNC(=O)ON,1
C\C=C/C=C/C=O,1
NN.OS(=O)(=O)O,1
NCCNCCO,1
O=S1(=O)CCCO1,1
CC(O)\C=C\C=O,1
[O-][N+](=O)C(Cl)(Cl)Cl,1
Clc1ccccn1,1
CC(C)S(=O)(=O)Cl,1
OCC(O)C1CO1,1
C=CCCC1CO1,1
COC(=O)C(Cl)Cl,1
O=NN1CCSC1,1
ClC(=C(Cl)C=O)Cl,1
CC(=O)C(Cl)(Cl)Cl,1
COC(=O)C(C)Cl,1
CN(N=O)C(=O)C,1
CC(Br)C(Br)CCl,1
CC(Cl)(Cl)[N+](=O)[O-],1
CC1(C)COC1=O,1
Fc1ccccn1,1
CCCCON=O,1
COS(=O)(=O)OC,1
ClCCSCCCl,1
OC(O)C(Cl)(Cl)Cl,1
CN(N=O)C(=O)N,1
CCN1CCN=N1,1
CC(C)(Cl)[N+](=O)[O-],1
CCN(C=O)N=O,1
CC(C)CON=O,1
Cl\C=C(/Cl)\C(Cl)Cl,1
CCN(CC)N=O,1
CCC\C=C\C=O,1
CC(Cl)C(Br)CBr,1
CC1(CO1)C2CO2,1
CCOC(=O)CBr,1
O=CCCCC=O,1
COC1OC1(C)C,1
CCCC(=C)C=O,1
CC(C)(C)ON=O,1
CC1(CO1)C(=O)N,1
NC(=O)OC1CO1,1
ClCCOCCCl,1
[Na+].[Na+].O[Cr](=O)(=O)O,1
[K+].OCCCN=N,1
O[C@@H]1CCN(C1)N=O,1
C[N+](C)(C)CC1CO1,1
Cc1cncc(C)n1,1
O=NN1CCC=CC1,1
C=CCOC[C@H]1CO1,1
Oc1cnnc(O)n1,1
FC(F)(F)COC=C,1
CCCC\C=C\C=O,1
Nc1ccccc1S,1
OC[C@@H](O)CN=[N+]=[N-],1
O=C\C=C\C=C\C=O,1
CNC(=O)N(C)N=O,1
CN1SC(=CC1=O)Cl,1
ClCc1ccccn1,1
OC(=O)CCN=N#N,1
ClC(Cl)(Cl)C[C@H]1CO1,1
CC(C)OC[C@H]1CO1,1
ClCc1cccnc1,1
C1CC2(CCO1)CO2,1
Nc1ccc(Cl)cc1,1
CCOCCOCC,1
O=S1(=O)CCCCO1,1
CNC(=N)N[N+](=O)[O-],1
NC(=O)N=NC(=O)N,1
NNc1ccccc1,1
C[C@H](CCC#N)C#N,1
FC(Cl)(Cl)C(F)(Cl)Cl,1
O=S1(=O)OCCCO1,1
C[C@@H]1CNC[C@@H](C)O1,1
C[C@@H](O)CN(C)N=O,1
Nc1ccccc1O,1
O=NN1CCSCC1,1
CC(=O)c1ccc[nH]1,1
O=NN1CCNC1=O,1
ClC1=C(Cl)C(=O)OC1,1
OCC(O)CN=N#N,1
OCNC(=O)NCO,1
O=NN1CCNCC1,1
CN=NC(C)(C)OO,1
CC(O)C(N)C(=O)O,1
C=CCOCC1CO1,1
OC(=O)C1CCCN1,1
ClC(Cl)(Cl)CC1CO1,1
FC(F)(Br)C(F)(F)I,1
O=C1NN=CC(=O)N1,1
CC(C)OCC1CO1,1
OC(=O)CCN=[N+]=[N-],1
[O-][N+](=O)[C-]1CCCC1,1
CC(O)CN(C)N=O,1
C[Si](C)(C)CN=[N+]=[N-],1
N[Pt]1(N)OCC(=O)O1,1
NC(=O)\N=N\C(=O)N,1
[Cl-].ClCCNCCCl,1
OC\C(=C(/Br)\CO)\Br,1
[H+].[Cl-].CN(C)CCCCl,1
[Cl-].Cc1cc(N)sn1,1
O=C1NC=CC(=O)N1,1
O[C@@H]1C=CC=C[C@H]1O,1
C\N=N\C(C)(C)OO,1
CCCC(Cl)C(=O)S,1
CCOC(=O)C(C)Br,1
O=NN1CCOCC1,1
BrCc1ccccc1,1
COP(=O)(OC)OC,1
CCCOS(=O)(=O)C,1
CC(C)(N=O)[N+](=O)[O-],1
O=NN1CCCCC1,1
BrC1=C(Br)C(=O)OC1,1
CC(C)OS(=O)(=O)C,1
Cn1ccnc1N=O,1
CCCCCON=O,1
CN(CC(=O)C)N=O,1
Nc1cccc(N)n1,1
Nc1cccc(N)c1,1
ONc1ccccc1,1
CC1=C(O)C(=O)CO1,1
ClCC1=CC(=O)OC1,1
BrN1C(=O)CCC1=O,1
CC(=O)OO[N+](=O)[O-],1
BrCCOC(=O)C=C,1
C1COCC2(C1)CO2,1
ClCc1ccccc1,1
CCN1CCOCC1,1
Nc1ccc(F)cc1,1
[O-][N+](=O)C1CCCC1,1
Clc1cccnc1Cl,1
Nc1ccccc1N,1
COC(=O)C(=C)C#N,1
CC(=O)c1occc1,1
CC(C)CCON=O,1
CCCCC(=C)C=O,1
Nc1ccc(N)cc1,1
CCN(CCO)N=O,1
CCC(=O)C(=O)CC,1
OC1C=CC=CC1O,1
ClCCOC(=O)C=C,1
CC(C)N(N)C(C)C,1
ClC(Cl)C(=O)C(Cl)Cl,1
O=C1CCCCC1=O,1
C(CC1CO1)C2CO2,1
CN(CCCl)CCCl,1
OC(=O)CC[N+](=O)[O-],1
CCCCN(C)N=O,1
CCN(N=O)C(=O)N,1
O=C1NCNC(=O)N1,1
CCOC(=O)N(C)C,1
OCC(O)CN=[N+]=[N-],1
CN(C[C@H](O)CO)N=O,1
CC(=O)OC[C@H](O)CO,1
CCOC(=O)C(N)CS,1
Cl[C@@H]1CN(C[C@H]1Cl)N=O,1
CCCCOC[C@H]1CO1,1
CN1CCN(CC1)N=O,1
Cc1ccc(cc1)[N+]#N,1
CNc1ccc(O)cc1,1
c1ccc2[nH]nnc2c1,1
O=C1C=CC(=N#N)C=C1,1
O[C@H]1CCCN(C1)N=O,1
OC(=O)\C(=C(/Br)\C=O)\Br,1
NC(CN=N#N)C(=O)O,1
CCN(CC)[N+](=NO)[O-],1
NC(=O)N(CCO)N=O,1
OC1CCN(CC1)N=O,1
CN1CSC(=S)N(C)C1,1
C=CCN(CC=C)N=O,1
C=CC(=O)OC[C@H]1CO1,1
OCC(CBr)(CBr)CBr,1
OC[C@@H]1SCCN1N=O,1
CCOC(=O)N(C)N=O,1
CN(C)C(=O)N(C)C=O,1
ClC1CCN(CC1)N=O,1
C=CCCCC[C@H]1CO1,1
C[C@H]1CCOS(=O)(=O)O1,1
OC(=O)\C(=C(/Cl)\C=O)\Cl,1
C[C@H](CCl)O[C@H](C)CCl,1
Cn1cncc1[N+](=O)[O-],1
Nc1ccc(O)c(N)c1,1
COC1=CC=CC=CC1,1
C[C@H]1CCCN(C1)N=O,1
Cl[C@H]1CCCN(C1)N=O,1
CCN(CCCO)N=O,1
Cc1ccc(N)cc1Cl,1
CNc1ccccc1N,1
O=NN1CCC(=O)CC1,1
CC(C)Cc1nccs1,1
OC1C=CC2OC2C1O,1
ClCCOC\C(=C/Cl)\Cl,1
Oc1ccc(O)c(O)c1,1
C[C@@H](O)COC(C)(C)C,1
CC1CCN(CC1)N=O,1
CC(C)(C)OC[C@H]1CO1,1
Cc1ccc(O)c(C)c1,1
Nc1ccc(C=C)cc1,1
CC1=C(O)C(=O)C=CO1,1
O=NN1CCCNC1=O,1
O=NN1CC(=O)NC1=O,1
C[C@@H]1CCCCN1N=O,1
CN(C)CCN(C)N=O,1
N[C@H](CN=[N+]=[N-])C(=O)O,1
Cc1cccc(N)c1C,1
O=NN1CCCCCC1,1
OC(=O)\C(=C(\Cl)/C=O)\Cl,1
Cc1cc(Cl)ccc1N,1
Cc1ccc(N)cc1N,1
C1OC1c2ccccc2,1
C=CC(=O)OCC1CO1,1
CCCCOCC1CO1,1
CCOP(=S)(Cl)OCC,1
CC(C)(C)OCC1CO1,1
C=CCCCCC1CO1,1
C1O[C@@H]1c2ccccc2,1
CC(=O)OCC(O)CO,1
CC(O)COC(C)(C)C,1
NCC(=O)CCC(=O)O,1
C=COc1ccccc1,1
CN(C)C(=O)N(C)N=O,1
CCCCCCN=[N+]=[N-],1
CN(CC(O)CO)N=O,1
COC1=CC=NC(=O)N1,1
[H+].[Cl-].CN(CCCl)CCCl,1
c1ccc2n[nH]nc2c1,1
[Fe+2].OC(=O)\C=C/C(=O)O,1
OC(=O)\C(=C(\Br)/C=O)\Br,1
[N-]=[N+]=C1C=CC(=O)C=C1,1
[H+].[Cl-].ClCc1ccccn1,1
[H+].[Cl-].ClCc1cccnc1,1
[H+].[Cl-].Nc1ccc(Cl)cc1,1
CNN.OC(=O)C(=O)O,1
ClC1CN(CC1Cl)N=O,1
OCC1SCCN1N=O,1
O[C@H]1C=C[C@H]2O[C@H]2[C@@H]1O,1
O[C@H]1C=C[C@@H]2O[C@@H]2[C@@H]1O,1
O[C@@H]1C=C[C@H]2O[C@H]2[C@H]1O,1
Cc1ccc(N)c(C)c1,1
Cc1cccc(N)c1N,1
ClCC1=C(Br)C(=O)OC1,1
CCOS(=O)(=O)OCC,1
C1OCc2ccccc12,1
COc1ccc(N)cc1,1
C[N+]([O-])(CCCl)CCCl,1
Nc1ccc(Cl)cc1N,1
Cc1ccccc1N=O,1
OC1CN(CCO1)N=O,1
CCN(CC)N(O)N=O,1
COc1ccccc1N,1
ClCC1=C(Cl)C(=O)OC1,1
Cc1c(N)cccc1N,1
CN(COC(=O)C)N=O,1
ClC(Cl)C(=O)C(Cl)(Cl)Cl,1
OC1OC(=O)C(=C1Cl)Cl,1
Cc1ccc(NO)cc1,1
CC(C)(Cl)OC(C)(C)Cl,1
Cc1ccc(N)cc1O,1
ClC1=C(Cl)C(=O)NC1=O,1
Cc1ccc(O)c(N)c1,1
OCCN(CCO)N=O,1
CC(O)C(=O)NCCO,1
COS(=O)(=O)C(F)(F)F,1
Cn1ccnc1[N+](=O)[O-],1
ClC(=O)c1ccccc1,1
C1O[C@H]1c2ccccc2,1
Cc1ccc(N)c(O)c1,1
Cc1ccc(N)c(N)c1,1
ClC(=C1OC(=O)C=C1)Cl,1
C\C(=C(\Cl)/C(=O)O)\C=O,1
OC1OC(=O)C=C1CCl,1
Nc1ccc(Cl)c(N)c1,1
Oc1cccc(O)c1O,1
CCCN(N=O)C(=O)N,1
Cc1cccc(C)c1C,1
ClC(Cl)C(=C(Cl)Cl)C=O,1
ClC1(Cl)C(=O)C=CC1=O,1
Cc1ccccc1NO,1
CC(C)COS(=O)(=O)C,1
Cc1ccc(C)c(N)c1,1
CCC(C)OS(=O)(=O)C,1
BrCC1=C(Br)C(=O)OC1,1
CN(CCCCO)N=O,1
ClC(Cl)c1ccccc1,1
CC1=C(Cl)C(=O)OC1O,1
Nc1cc(Cl)ccc1O,1
ClC1=C(CBr)COC1=O,1
CC(C)(S)C(N)C(=O)O,1
Cc1cccc(NO)c1,1
Oc1ccc(cc1)N=O,1
CNC(=O)N(O)C(=O)C,1
CNC(=O)ONC(=O)C,1
CCCCOS(=O)(=O)C,1
CCCN(CCC)N=O,1
[H+].[Cl-].NNc1ccccc1,1
NC(CN=[N+]=[N-])C(=O)O,1
O=C1NC(=O)C(=N#N)C=N1,1
NC(=O)CNC(=O)C=N#N,1
NC(CCN=N#N)C(=O)O,1
CNC(=O)NOC(=O)NC,1
COC(=O)C(C)CN=N#N,1
Br[C@H]1CCN(C[C@@H]1Br)N=O,1
C1C[C@@H]2O[C@@H]2C[C@@H]1[C@H]3CO3,1
CC(N)(CN=[N+]=[N-])C(=O)O,1
OC[C@@H]1CO[C@@H](CCI)O1,1
N\C(=N/O)\c1ccccc1,1
ClCc1cnc(Cl)nc1Cl,1
O=NN1CCN(CC1)N=O,1
Cc1cc(C)c(N)c(C)c1,1
CC(=C)C(=O)OC[C@H]1CO1,1
[O-][N+](=O)c1ccc(Cl)cc1,1
Nc1cc(Cl)c(N)c(Cl)c1,1
ON(N=O)c1ccccc1,1
O=NN1CCC(=O)NC1=O,1
COc1ccc(N)c(C)c1,1
N#N=NCc1ccccc1,1
CN(N=O)C(=N)N[N+](=O)[O-],1
BrC[C@@H](Br)COC(=O)C=C,1
CNP(=S)(N1CC1)N2CC2,1
CCCN=NC(C)(C)OO,1
CCOC(=O)N(CC)N=O,1
CCNc1cccc(O)c1,1
Nc1[nH]cnc2ncnc12,1
OC(CN=N#N)CN=N#N,1
Cc1ccc(cc1)[C@@H]2CO2,1
C(CC[C@H]1CO1)C[C@H]2CO2,1
CC(=O)N[C@@H](CS)C(=O)O,1
OC(=O)\C(=C(/CCl)\C=O)\Cl,1
CN(N=O)c1ccccn1,1
Sc1[nH]cnc2ncnc12,1
CCc1cccc(C)c1N,1
C=CN=Nc1ccccc1,1
O=NN1CCCCCCC1,1
C[C@H](I)[C@@H]1OC[C@@H](CO)O1,1
O=C\C=C/c1ccccc1,1
NC(CCN=[N+]=[N-])C(=O)O,1
Cn1nc(cc1N)C2CC2,1
NC(=O)c1[nH]cnc1[N+]#N,1
CN(C)c1ccc(C)cc1,1
C1CC2OC2CC1C3CO3,1
CC(=C)C(=O)OCC1CO1,1
C(CCC1CO1)CC2CO2,1
[N-]=[N+]=NCc1ccccc1,1
[N-]=[N+]=C1C=NC(=O)NC1=O,1
COc1cc(N)ccc1N,1
Cc1cc(N)c(C)cc1N,1
BrCC(Br)COC(=O)C=C,1
CN(C)N.OC(=O)C(=O)O,1
OC(CN=[N+]=[N-])CN=[N+]=[N-],1
CN(CCCC(=O)O)N=O,1
ClCC1=C(Cl)C(=O)NC1=O,1
ClC1=C(CBr)C(=O)NC1=O,1
CC(I)C1OCC(CO)O1,1
S=C1N=CNc2nc[nH]c12,1
CN(N=O)\C(=N\[N+](=O)[O-])\N,1
Nc1ncnc2nc[nH]c12,1
[H+].[H+].[Cl-].[Cl-].Nc1cccc(N)c1,1
CCNc1ccc(O)cc1,1
[H+].[H+].[Cl-].[Cl-].Nc1ccc(N)cc1,1
NC(=O)CNC(=O)C=[N+]=[N-],1
Nc1snc2ccccc12,1
[Cl-].CCOC(=O)C(N)CS,1
CNC(=O)N(C)C(=O)ON,1
CCNN.OC(=O)C(=O)O,1
OCc1ccc(cc1)[N+]#N,1
[Cl-].[Cl-].[Pt+2].N[C@@H]1CCCCN1,1
CCC\N=N\C(C)(C)OO,1
OC(=O)\C(=C(\CCl)/C=O)\Cl,1
OC(=O)\C=C(/CCl)\C(Cl)Cl,1
CCN(N=O)\C(=N\O)\C=O,1
Oc1cccc(c1)[N+](=O)[O-],1
ClC(Cl)(Cl)c1ccccc1,1
O=CC(=O)c1ccccc1,1
Cc1cccc(c1)C(=O)Cl,1
Nc1cccc2cnsc12,1
CCN(N)c1ccccc1,1
CN(N=O)c1ccccc1,1
CCOC(C)C(=O)C(O)O,1
Nc1ccc(cc1)[N+](=O)[O-],1
ONC(=O)c1ccccc1,1
CCCCN(CCC)N=O,1
Nc1cccc(c1)[N+](=O)[O-],1
Cc1ccc(cc1)C(=O)Cl,1
CC1(CO1)c2ccccc2,1
COc1cc(N)ccc1C,1
C1CC23OC2(C1)C=CC=C3,1
Cc1cc(C)c(N)cc1C,1
ClC1=C(COC1=O)C(Br)Br,1
[O-][N+](=O)c1ccc(S)cc1,1
ClC(Cl)C1=C(Cl)C(=O)OC1,1
[O-][N+](=O)c1oc(C=O)cc1,1
CC(C)CCOS(=O)(=O)C,1
[O-][N+](=O)c1cc[n+]([O-])cc1,1
CCOc1ccc(N)cc1,1
Cc1cccc(NO)c1C,1
Cc1ccccc1C(=O)Cl,1
ClC(=C1OC(=O)C(=C1)Cl)Cl,1
[O-][N+](=O)c1ccccc1Cl,1
CC(C)CN(N)CC(C)C,1
CNP(=O)(N(C)C)N(C)C,1
COc1ccc(cc1)N=O,1
NNC(=O)c1ccncc1,1
ClC(=O)c1cccc(Cl)c1,1
Cc1ccc(NO)cc1C,1
CC1CN(CC(C)O1)N=O,1
CSCNc1ccccc1,1
NCCNCCNCCN,1
NC(CS\C=C\Cl)C(=O)O,1
[O-][N+](=O)c1ccc(Br)cc1,1
CCN(N=O)C(=O)N(C)C,1
C1OC1Oc2ccccc2,1
Cc1ccc(C)c(NO)c1,1
CN(COC(=O)C)[N+](=O)[O-],1
COc1ccc(C)cc1N,1
Cc1ccc(NO)c(C)c1,1
CCCCN(N=O)C(=O)N,1
CC(=O)OCc1occc1,1
Nc1ccc2sncc2c1,1
ClC1=CC(=O)C(Cl)(Cl)C1=O,1
ClC(=C1CC(=O)NC1=O)Cl,1
CN(C)c1cccc(O)c1,1
[O-][N+](=O)c1ccccc1Br,1
OCCN(CC(=O)O)N=O,1
OC1OC(=O)C(=C1CBr)Br,1
ClC(=O)Cc1ccccc1,1
CC1=C(O)C(=O)C(O)CO1,1
Nc1ccc2ncsc2c1,1
Fc1ccccc1C(=O)Cl,1
N#C[Se]Cc1ccccc1,1
NC(CSCCCl)C(=O)O,1
Cc1cc(C)cc(NO)c1,1
Cc1cccc(C)c1NO,1
CN(C)c1ccc(N)cc1,1
CCCCN(CCO)N=O,1
C(C1CO1)c2ccccc2,1
c1ccc2ncccc2c1,1
ClC(=O)c1ccccc1Cl,1
NCCCCC(N)C(=O)O,1
BrC(Br)C1=C(Br)C(=O)OC1,1
ONc1ccc(cc1)N=O,1
OC1OC(=O)C(=C1CCl)Cl,1
[O-][N+](=O)c1cccc(Br)c1,1
Cc1ncc([N+](=O)[O-])n1C,1
CCN(CCCCO)N=O,1
BrCC(Br)c1ccccc1,1
OCC1=CC(=O)C(=CO1)O,1
[Na+].CCN(CC)N(O)N=O,1
COC(=O)C(C)CN=[N+]=[N-],1
NNC(=O)CNC(=O)C=N#N,1
C=CC(=O)NCNC(=O)C=C,1
ONC(=O)c1ccccc1O,1
CC(=O)c1ccc([nH]1)[N+](=O)[O-],1
Cc1c(N)cccc1[N+](=O)[O-],1
O1[C@H]2C=Cc3cccnc3[C@@H]12,1
CCOC(=O)N(CCO)N=O,1
Nc1nc2cc(O)ccc2[nH]1,1
C[C@H]1CN(N=O)C(=O)NC1=O,1
NCCc1ccc(O)c(O)c1,1
CC(=O)c1ccc(s1)[N+](=O)[O-],1
Clc1cccc2cccnc12,1
OC(=O)\C(=C(\CCl)/C(Cl)Cl)\Cl,1
CCCCCCOC[C@H]1CO1,1
[O-][N+](=O)c1ccc(cc1)[N+]#N,1
C[C@@H](O)CN(CC(=O)C)N=O,1
Cc1ccc(cc1N)C(=O)O,1
OC(=O)CN(CC(=O)O)N=O,1
CC(C)[C@@H]1CC[C@@H](C)CC1=O,1
NCC(=O)Nc1ccccc1,1
CC(=O)\C=C/c1ccccc1,1
Nc1ccccc1S(=O)(=O)O,1
CCCCN(CCCO)N=O,1
Cc1cccc(c1N)[N+](=O)[O-],1
[O-][N+](=O)c1cc(F)ccc1F,1
Cc1ccc(c(C)c1)[N+](=O)[O-],1
Cc1cccc2ncccc12,1
C(Oc1ccccc1)[C@H]2CO2,1
O=NN1CCCN(CC1)N=O,1
ONc1[nH]cnc2ncnc12,1
CN(C)N=Nc1ccccc1,1
CNc1ccc(cc1)[N+](=O)[O-],1
Cc1cc(ccc1N)[N+](=O)[O-],1
Cc1cccc2cccnc12,1
ONc1cc2ccccc2[nH]1,1
COc1ccc(N)c(OC)c1,1
Nc1c2[nH]cnc2nc[n+]1[O-],1
Cc1ccc2[nH]c(N)nc2c1,1
Cc1nc2cc(Cl)ccc2[nH]1,1
NNc1ccccc1[N+](=O)[O-],1
Cc1ccc(N)cc1[N+](=O)[O-],1
NC(Cn1ccnc1)C(=O)O,1
Nc1ccc2c(no[n+]2[O-])n1,1
O[C@@H]1OC(=O)C(=C1C(Cl)Cl)Cl,1
Cc1ccc(cc1N)[N+](=O)[O-],1
C[C@@H](O)CN(C[C@@H](C)O)N=O,1
Br\C(=C/c1ccccc1)\C=O,1
CCOc1ccc(N)cc1N,1
OCCCCN(CCO)N=O,1
