SMILES,From Smiles,To Smiles,Environment Radius,Ames Smiles,Transformer,Rule Frequency,RuleID,Predicted Values,AD,,,
Cc1ccccc1CCN(CCC#N)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]c1ccccc1,[*:1]c1ccccc1C,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]c1ccccc1>>[*:1]c1ccccc1C,2,95,1,1,,,
Cn1cnc(N(CCC#N)CCc2ccccc2)c1-c1ccc([N+](=O)[O-])cc1Cl,[*:1]N=Nc1ccc([*:2])cc1,[*:2]c1ncn(C)c1[*:1],0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=Nc1ccc([*:2])cc1>>[*:2]c1ncn(C)c1[*:1],1,1413,1,1,,,
Cn1cnc(N(CCC#N)CCc2ccccc2)c1N=Nc1ccc([N+](=O)[O-])cc1Cl,[*:1]c1ccc([*:2])cc1,[*:1]c1ncn(C)c1[*:2],0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]c1ccc([*:2])cc1>>[*:1]c1ncn(C)c1[*:2],1,1402,1,1,,,
Cn1cnc(N=Nc2ccc([N+](=O)[O-])cc2Cl)c1N(CCC#N)CCc1ccccc1,[*:1]c1ccc([*:2])cc1,[*:1]c1ncn(C)c1[*:2],0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]c1ccc([*:2])cc1>>[*:1]c1ncn(C)c1[*:2],1,1402,1,1,,,
N#CCCN(CCOCCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]CC[*:2],[*:1]CCOCC[*:2],0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]CC[*:2]>>[*:1]CCOCC[*:2],1,1232,1,1,,,
N#CCCN(CCc1ccccc1)S(=O)(=O)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]c1ccc([*:2])cc1,[*:1]c1ccc(S([*:2])(=O)=O)cc1,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]c1ccc([*:2])cc1>>[*:1]c1ccc(S([*:2])(=O)=O)cc1,2,1143,1,1,,,
N#CCCN(CCc1ccccc1)c1cc(N=Nc2ccc([N+](=O)[O-])cc2Cl)ccc1O,[*:1]c1ccc([*:2])cc1,[*:1]c1ccc(O)c([*:2])c1,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]c1ccc([*:2])cc1>>[*:1]c1ccc(O)c([*:2])c1,1,1403,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(-c2ccc(-c3ccc(-c4ccc([N+](=O)[O-])cc4Cl)cc3)cc2)cc1,[*:1]N=N[*:2],[*:1]c1ccc(-c2ccc([*:2])cc2)cc1,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=N[*:2]>>[*:1]c1ccc(-c2ccc([*:2])cc2)cc1,1,2036,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(-c2ccc(-c3ccc([N+](=O)[O-])cc3Cl)cc2)cc1,[*:1]N=N[*:2],[*:1]c1ccc([*:2])cc1,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=N[*:2]>>[*:1]c1ccc([*:2])cc1,1,5139,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(-c2ccc(C(=O)C3OC3c3ccc([N+](=O)[O-])cc3Cl)cc2)cc1,[*:1]N=N[*:2],[*:1]c1ccc(C(=O)C2OC2[*:2])cc1,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=N[*:2]>>[*:1]c1ccc(C(=O)C2OC2[*:2])cc1,1,5147,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(-c2ccc(N=Nc3ccc([N+](=O)[O-])cc3Cl)cc2)cc1,[*:1]c1ccc([*:2])cc1,[*:1]c1ccc(-c2ccc([*:2])cc2)cc1,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]c1ccc([*:2])cc1>>[*:1]c1ccc(-c2ccc([*:2])cc2)cc1,3,1082,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(-c2cccc(-c3ccc([N+](=O)[O-])cc3Cl)c2)cc1,[*:1]N=N[*:2],[*:1]c1cccc([*:2])c1,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=N[*:2]>>[*:1]c1cccc([*:2])c1,1,5137,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(-c2ccccc2-c2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]N=N[*:2],[*:1]c1ccccc1[*:2],1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=N[*:2]>>[*:1]c1ccccc1[*:2],1,5138,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(-c2coc(C(=O)O)c2-c2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]N=N[*:2],[*:1]c1coc(C(=O)O)c1[*:2],1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=N[*:2]>>[*:1]c1coc(C(=O)O)c1[*:2],1,5141,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(C(=O)/C=C/c2ccc(Oc3ccc([N+](=O)[O-])cc3Cl)cc2)cc1,[*:1]N=N[*:2],[*:1]Oc1ccc(/C=C/C([*:2])=O)cc1,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=N[*:2]>>[*:1]Oc1ccc(/C=C/C([*:2])=O)cc1,1,5146,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(C(=O)C2OC2c2ccc(Oc3ccc([N+](=O)[O-])cc3Cl)cc2)cc1,[*:1]N=N[*:2],[*:1]Oc1ccc(C2OC2C([*:2])=O)cc1,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=N[*:2]>>[*:1]Oc1ccc(C2OC2C([*:2])=O)cc1,1,5151,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(C2OC2C(=O)c2ccc(-c3ccc([N+](=O)[O-])cc3Cl)cc2)cc1,[*:1]N=N[*:2],[*:1]c1ccc(C(=O)C2OC2[*:2])cc1,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=N[*:2]>>[*:1]c1ccc(C(=O)C2OC2[*:2])cc1,1,5147,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(N=Nc2ccc(-c3ccc(-c4ccc(N)cc4)cc3)cc2Cl)cc1,[*:1][N+](=O)[O-],[*:1]c1ccc(-c2ccc(N)cc2)cc1,2,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1][N+](=O)[O-]>>[*:1]c1ccc(-c2ccc(N)cc2)cc1,1,1555,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(N=Nc2ccc(-c3ccc(Cl)c(Cl)c3)cc2Cl)cc1,[*:1][N+](=O)[O-],[*:1]c1ccc(Cl)c(Cl)c1,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1][N+](=O)[O-]>>[*:1]c1ccc(Cl)c(Cl)c1,1,1787,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(N=Nc2ccc(-c3cccc(Cl)c3Cl)cc2Cl)cc1,[*:1][N+](=O)[O-],[*:1]c1cccc(Cl)c1Cl,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1][N+](=O)[O-]>>[*:1]c1cccc(Cl)c1Cl,1,1788,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(N=Nc2ccc(-c3ccccc3)cc2Cl)cc1,[*:1][N+](=O)[O-],[*:1]c1ccccc1,2,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1][N+](=O)[O-]>>[*:1]c1ccccc1,10,1559,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(N=Nc2ccccc2)cc1,[*:1]c1ccc([N+](=O)[O-])cc1Cl,[*:1]c1ccccc1,3,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]c1ccc([N+](=O)[O-])cc1Cl>>[*:1]c1ccccc1,1,1116,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(N=Nc2ccccc2Cl)cc1,[*:1][N+](=O)[O-],[*:1][H],2,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1][N+](=O)[O-]>>[*:1][H],172,435,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(N=Nc2cccnc2)cc1,[*:1]c1ccc([N+](=O)[O-])cc1Cl,[*:1]c1cccnc1,5,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]c1ccc([N+](=O)[O-])cc1Cl>>[*:1]c1cccnc1,1,1117,0,1,,,
N#CCCN(CCc1ccccc1)c1ccc(Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]N=Nc1ccc([*:2])cc1,[*:1]Nc1ccc([*:2])cc1,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=Nc1ccc([*:2])cc1>>[*:1]Nc1ccc([*:2])cc1,1,1416,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(O)c(N=Nc2ccc([N+](=O)[O-])cc2Cl)c1,[*:1]c1ccc([*:2])cc1,[*:1]c1ccc(O)c([*:2])c1,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]c1ccc([*:2])cc1>>[*:1]c1ccc(O)c([*:2])c1,1,1403,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]N=N[*:2],[*:1]OP(=O)(O[*:2])Oc1ccccc1,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=N[*:2]>>[*:1]OP(=O)(O[*:2])Oc1ccccc1,1,5145,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(Oc2ccc(/C=C/C(=O)c3ccc([N+](=O)[O-])cc3Cl)cc2)cc1,[*:1]N=N[*:2],[*:1]Oc1ccc(/C=C/C([*:2])=O)cc1,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=N[*:2]>>[*:1]Oc1ccc(/C=C/C([*:2])=O)cc1,1,5146,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(Oc2ccc(C3OC3C(=O)c3ccc([N+](=O)[O-])cc3Cl)cc2)cc1,[*:1]N=N[*:2],[*:1]Oc1ccc(C2OC2C([*:2])=O)cc1,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=N[*:2]>>[*:1]Oc1ccc(C2OC2C([*:2])=O)cc1,1,5151,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(P(c2ccccc2)c2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]N=N[*:2],[*:1]P([*:2])c1ccccc1,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=N[*:2]>>[*:1]P([*:2])c1ccccc1,1,5140,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(S(=O)(=O)N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]c1ccc([*:2])cc1,[*:1]c1ccc(S([*:2])(=O)=O)cc1,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]c1ccc([*:2])cc1>>[*:1]c1ccc(S([*:2])(=O)=O)cc1,2,1143,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]N=N[*:2],[*:1]S([*:2])(=O)=O,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=N[*:2]>>[*:1]S([*:2])(=O)=O,1,2035,1,1,,,
N#CCCN(CCc1ccccc1)c1ccc([Sn](O)(c2ccccc2)c2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]N=N[*:2],[*:1][Sn]([*:2])(O)c1ccccc1,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=N[*:2]>>[*:1][Sn]([*:2])(O)c1ccccc1,1,5142,1,1,,,
N#CCCN(CCc1ccccc1)c1cccc(-c2ccc([N+](=O)[O-])cc2Cl)c1O,[*:1]N=Nc1ccc([*:2])cc1,[*:1]c1cccc([*:2])c1O,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=Nc1ccc([*:2])cc1>>[*:1]c1cccc([*:2])c1O,1,1417,1,1,,,
N#CCCN(CCc1ccccc1)c1cccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)c1,[*:1]c1ccc([*:2])cc1,[*:1]c1cccc([*:2])c1,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]c1ccc([*:2])cc1>>[*:1]c1cccc([*:2])c1,7,74,1,1,,,
N#CCCN(CCc1ccccc1)c1cccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)c1O,[*:1]c1ccc([*:2])cc1,[*:1]c1cccc([*:2])c1O,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]c1ccc([*:2])cc1>>[*:1]c1cccc([*:2])c1O,1,1404,1,1,,,
N#CCCN(CCc1ccccc1)c1ccccc1-c1ccc([N+](=O)[O-])cc1Cl,[*:1]N=Nc1ccc([*:2])cc1,[*:1]c1ccccc1[*:2],0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=Nc1ccc([*:2])cc1>>[*:1]c1ccccc1[*:2],1,1414,1,1,,,
N#CCCN(CCc1ccccc1)c1ccccc1N=Nc1ccc([N+](=O)[O-])cc1Cl,[*:1]c1ccc([*:2])cc1,[*:1]c1ccccc1[*:2],0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]c1ccc([*:2])cc1>>[*:1]c1ccccc1[*:2],8,11,1,1,,,
N#CCCN(CCc1cccnc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]c1ccccc1,[*:1]c1cccnc1,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]c1ccccc1>>[*:1]c1cccnc1,2,94,1,1,,,
NC(=O)NCCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]NC(N)=O,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]NC(N)=O,1,2673,1,1,,,
NCCCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]CN,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]CN,1,454,1,1,,,
NS(=O)(=O)CCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]S(N)(=O)=O,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]S(N)(=O)=O,1,2674,1,1,,,
O=C(CCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1)OCc1ccccc1,[*:1]C#N,[*:1]C(=O)OCc1ccccc1,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]C(=O)OCc1ccccc1,1,2679,1,1,,,
O=C(O)CCCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]CC(=O)O,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]CC(=O)O,1,2575,1,1,,,
O=C(O)CCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]C(=O)O,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]C(=O)O,4,482,1,1,,,
O=C(OCCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1)c1ccccc1,[*:1]C#N,[*:1]OC(=O)c1ccccc1,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]OC(=O)c1ccccc1,1,1052,1,1,,,
O=CCCCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]CC=O,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]CC=O,1,458,1,1,,,
