,smiles,endpoint,cano_smiles,pred_values,ad
53,CCOC(=O)\C=C\C1=CC=C(CBr)C=C1,1,CCOC(=O)/C=C/c1ccc(CBr)cc1,1,1
54,C1=CC(=CC=C1N)NNC=O,1,Nc1ccc(NNC=O)cc1,1,1
55,CC(CBr)C(=O)O,1,CC(CBr)C(=O)O,1,1
56,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)C=O,1,O=Cc1ccc2ccc3cccc4ccc1c2c34,1,1
57,C1=CC(=C(C=C1[N+](=O)[O-])Cl)F,1,O=[N+]([O-])c1ccc(F)c(Cl)c1,1,1
58,C1=CC(=C(C=C1[N+](=O)[O-])F)F,1,O=[N+]([O-])c1ccc(F)c(F)c1,1,1
59,CCN(CC)C1=CC(=C(C=C1)N=NC2=C(C=C(C=C2Br)[N+](=O)[O-])Br)NC(=O)C,1,CCN(CC)c1ccc(N=Nc2c(Br)cc([N+](=O)[O-])cc2Br)c(NC(C)=O)c1,1,1
60,CC1=C(C#N)C(=N)SC\1=N/NC1=C(Cl)C=C(C=C1)[N+]([O-])=O,1,CC1=C(C#N)C(=N)S/C1=N\Nc1ccc([N+](=O)[O-])cc1Cl,1,0
61,CC1=NN(N=N1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)OCOC(=O)C(C)(C)C,1,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(Cn3nnc(C)n3)CS[C@H]12)c1csc(N)n1,0,1
62,NC1=C(C=C(C2=C1C(=O)C1=C(C=CC=C1)C2=O)[N+]([O-])=O)C(=O)OC1CCCCC1,1,Nc1c(C(=O)OC2CCCCC2)cc([N+](=O)[O-])c2c1C(=O)c1ccccc1C2=O,1,1
63,CCC(=O)NC1=CC=CC(=C1)NC2=CC(=C(C3=C2C(=O)C4=CC=CC=C4C3=O)N)S(=O)(=O)[O-].[Na+],1,CCC(=O)Nc1cccc(Nc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)c1.[Na+],0,1
64,CCCCCCCCOC1=CC=C(C=C1)[N+](=O)[O-],1,CCCCCCCCOc1ccc([N+](=O)[O-])cc1,1,1
65,CP(Cl)Cl,1,CP(Cl)Cl,0,0
66,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO.Cl.Cl,1,Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,1,1
67,COCCN(CCOC)C1=CC(NC(C)=O)=C(C=C1)\N=N\C1=C2C=C(C=CC2=NS1)[N+]([O-])=O,1,COCCN(CCOC)c1ccc(/N=N/c2snc3ccc([N+](=O)[O-])cc23)c(NC(C)=O)c1,1,1
68,CC(C)(C)C(=O)OCI,1,CC(C)(C)C(=O)OCI,0,0
69,CCC(=C)C=O,1,C=C(C=O)CC,1,1
70,[O-][N+](=O)C1=CC=C(Cl)C(=C1)C(=O)C1=C(Cl)C=CC=C1,1,O=C(c1ccccc1Cl)c1cc([N+](=O)[O-])ccc1Cl,1,1
71,CC1=C(Cl)C=CC(=C1Cl)C(Cl)(Cl)Cl,1,Cc1c(Cl)ccc(C(Cl)(Cl)Cl)c1Cl,0,0
72,CC1=CC(Cl)=C(Cl)C=C1C(Cl)(Cl)Cl,1,Cc1cc(Cl)c(Cl)cc1C(Cl)(Cl)Cl,0,0
73,C1=CC=C2C(=C1)C=CC3=CC=CC=C3C2=O,1,O=c1c2ccccc2ccc2ccccc12,1,1
74,C1CC(C(=O)C(C1)(Cl)Cl)(Cl)Cl,1,O=C1C(Cl)(Cl)CCCC1(Cl)Cl,0,0
75,OC1=CC=C(C=C1)\C=C\C1=NN=C(O1)C(Cl)(Cl)Cl,1,Oc1ccc(/C=C/c2nnc(C(Cl)(Cl)Cl)o2)cc1,1,0
76,C1=CC=C(C=C1)CN(CCC#N)C2=CC=C(C=C2)N=NC3=CC=C(C=C3)[N+](=O)[O-],1,N#CCCN(Cc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,1,1
77,CC(CCOC1=C(C2=C(C(=C1)O)C(=O)C3=CC=CC=C3C2=O)N)O,1,CC(O)CCOc1cc(O)c2c(c1N)C(=O)c1ccccc1C2=O,1,1
78,CC(OC(=O)Cl)Cl,1,CC(Cl)OC(=O)Cl,1,1
79,Cl.[O-][N+](=O)C1=CC(=CC(C=O)=C1)N1CCNCC1,1,Cl.O=Cc1cc(N2CCNCC2)cc([N+](=O)[O-])c1,1,0
80,CCC(=O)OCC1CO1,1,CCC(=O)OCC1CO1,1,1
81,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=C(C(=C(C=C4C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC5=CC=C(C=C5)[N+](=O)[O-])N)O)C)N=NC6=CC=C(C=C6)O.[Na+].[Na+],1,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)[O-])cc4cc(S(=O)(=O)[O-])c(N=Nc5ccc([N+](=O)[O-])cc5)c(N)c4c3O)c(C)c2)ccc1N=Nc1ccc(O)cc1.[Na+].[Na+],1,1
82,C1C(O1)COC2=CC=CC=C2CC3=CC=CS3,1,c1csc(Cc2ccccc2OCC2CO2)c1,1,1
83,C1C(O1)COC2=CC3=C(C=C2)C(=CC=C3)OCC4CO4,1,c1cc(OCC2CO2)c2ccc(OCC3CO3)cc2c1,1,1
84,CC(C)(OO)C1=CC2=C(C=C1)C=C(C=C2)C(C)(C)OO,1,CC(C)(OO)c1ccc2cc(C(C)(C)OO)ccc2c1,1,0
85,CF,1,CF,0,0
86,C1=CC=C(C=C1)CN2C=CN=C2CCl.Cl,1,Cl.ClCc1nccn1Cc1ccccc1,1,1
87,CC(=O)OC1=C(C=CC=C1OC)CC2CO2,1,COc1cccc(CC2CO2)c1OC(C)=O,1,1
88,C1=CC=C(C=C1)NC(=O)CC(=O)CBr,1,O=C(CBr)CC(=O)Nc1ccccc1,0,1
89,CC(OC(=O)OC1CCCCC1)I,1,CC(I)OC(=O)OC1CCCCC1,0,0
90,CO\N=C(/C(Cl)=O)C(=O)CBr,1,CO/N=C(\C(=O)Cl)C(=O)CBr,1,0
91,[Cl-].C[N+]1=CC=C(\C=C\C2=CC=C(N)C=C2)C=C1,1,C[n+]1ccc(/C=C/c2ccc(N)cc2)cc1.[Cl-],1,1
92,ClCC(=O)\C=N\NC1=CC=C(Cl)C=C1,1,O=C(/C=N/Nc1ccc(Cl)cc1)CCl,1,1
93,C1C[C@@H](O[C@@H]1CO)N2C=NC3=C2N=CN=C3N,1,Nc1ncnc2c1ncn2[C@H]1CC[C@@H](CO)O1,0,1
94,C1C[C@@H](O[C@@H]1CO)N2C=NC3=C2NC=NC3=O,1,O=c1nc[nH]c2c1ncn2[C@H]1CC[C@@H](CO)O1,0,1
95,CSC(=S)NC1=CC=CC=N1,1,CSC(=S)Nc1ccccn1,0,0
96,CC1=CC=C(C2=CC=CC=C12)C(=O)C,1,CC(=O)c1ccc(C)c2ccccc12,1,1
97,C(C(F)(F)I)(F)(F)F,1,FC(F)(F)C(F)(F)I,1,0
98,CC(CO)(\N=N\C(C)(CO)C#N)C#N,1,CC(C#N)(CO)/N=N/C(C)(C#N)CO,0,0
99,[H][C@@]1(N)C(=O)N2C(C(=O)OCC3=CC=C(OC)C=C3)=C(CCl)CS[C@]12[H],1,COc1ccc(COC(=O)C2=C(CCl)CS[C@@H]3[C@H](N)C(=O)N23)cc1,0,0
100,[H][C@@](CCCCNC(=O)C(F)(F)F)(N[C@@]([H])(CC(=O)C1=CC=CC=C1)C(=O)OCC)C(O)=O,1,CCOC(=O)[C@H](CC(=O)c1ccccc1)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O,0,0
101,CC(=O)OC(C)(C)C(=O)Br,1,CC(=O)OC(C)(C)C(=O)Br,1,0
102,C1=CC(=CC(=C1)S(=O)(=O)NC2=CC=C(C=C2)NNC=O)[N+](=O)[O-],1,O=CNNc1ccc(NS(=O)(=O)c2cccc([N+](=O)[O-])c2)cc1,0,1
103,C1=CC=C(C=C1)OC(=O)NC2=CC=C(C=C2)NNC=O,1,O=CNNc1ccc(NC(=O)Oc2ccccc2)cc1,0,1
104,CC(=O)OC(C)(C)C(=O)Cl,1,CC(=O)OC(C)(C)C(=O)Cl,1,0
105,FC(=O)C(F)(F)C(F)(Cl)C(F)(F)Cl,1,O=C(F)C(F)(F)C(F)(Cl)C(F)(F)Cl,0,0
106,CN(C)C1=CC=C(C=C1)C(=C\C=C)\C1=CC=C(Cl)C=C1,1,C=C/C=C(\c1ccc(Cl)cc1)c1ccc(N(C)C)cc1,0,1
107,CC(=O)NC1=C2C(=C(C=C1)Br)C(=O)C3=CC=CC=C3C2=O,1,CC(=O)Nc1ccc(Br)c2c1C(=O)c1ccccc1C2=O,1,1
108,CC1=C(C=C[N+](=C1C)[O-])[N+](=O)[O-],1,Cc1c([N+](=O)[O-])cc[n+]([O-])c1C,1,1
109,[H][C@]1(CC(=O)C(CC#C)=C1C)OS(C)(=O)=O,1,C#CCC1=C(C)[C@H](OS(C)(=O)=O)CC1=O,1,0
110,C1C(O1)COC2=CC=C(C=C2)C3=CC=C(C=C3)OCC4CO4,1,c1cc(-c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,1,1
111,C1=CC(=CC(=C1)OC2=CC=C(C=C2)N)OC3=CC=C(C=C3)N,1,Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1,1,1
112,C(=C(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,1,FC(F)=C(F)OC(F)(F)C(F)(F)C(F)(F)F,0,0
113,CCC1=NN(C(=C1Cl)C(=O)Cl)C,1,CCc1nn(C)c(C(=O)Cl)c1Cl,1,0
114,CCCCCCCCN1C(=O)C(=C(S1)Cl)Cl,1,CCCCCCCCn1sc(Cl)c(Cl)c1=O,0,0
115,CC1=C(C(=CC=C1)C)NN.Cl,1,Cc1cccc(C)c1NN.Cl,1,1
116,COC1=C(C=C(C=C1)C(=O)Cl)OC,1,COc1ccc(C(=O)Cl)cc1OC,1,1
117,ClC1=CC2=C3N(CCC3=CC=C2)C1=O,1,O=c1c(Cl)cc2cccc3c2n1CC3,1,0
118,COC1=C(C=C(C=C1Cl)[N+](=O)[O-])Cl,1,COc1c(Cl)cc([N+](=O)[O-])cc1Cl,1,1
119,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O)O)N,1,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,0,0
120,C=C(CCl)Cl,1,C=C(Cl)CCl,1,0
121,C1=COC(=C1)C(=O)Cl,1,O=C(Cl)c1ccco1,1,1
122,[N-]=[N+]=NCC1=CC=CC=C1,1,[N-]=[N+]=NCc1ccccc1,1,1
123,C1=C(C=C(C=C1N)N)N,1,Nc1cc(N)cc(N)c1,1,1
124,CC(=O)CC1=CC(=C(C=C1)OC)S(=O)(=O)Cl,1,COc1ccc(CC(C)=O)cc1S(=O)(=O)Cl,0,0
125,CCN(CC)C1=CC(=C(C=C1)N=NC2=C(C(=C(S2)C=O)Cl)C#N)NC(=O)COC,1,CCN(CC)c1ccc(N=Nc2sc(C=O)c(Cl)c2C#N)c(NC(=O)COC)c1,1,0
126,C(NC(=O)N(CO)C1C(=O)N(C(=O)N1CO)CO)O,1,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,1,0
127,C1=CC=C2C=C(C(=CC2=C1)C(=O)NO)O,1,O=C(NO)c1cc2ccccc2cc1O,1,1
128,CC(=C)CBr,1,C=C(C)CBr,1,1
129,CCCC(C)(C)OOC(=O)OC(C)C,1,CCCC(C)(C)OOC(=O)OC(C)C,0,0
130,C1=CC(=CC=C1COC(=O)CC(=O)O)[N+](=O)[O-],1,O=C(O)CC(=O)OCc1ccc([N+](=O)[O-])cc1,1,1
131,[H][C@](C)(O)COC1=C(N)C=CC(F)=C1F,1,C[C@@H](O)COc1c(N)ccc(F)c1F,1,0
132,CCOC(=O)CCN.Cl,1,CCOC(=O)CCN.Cl,0,1
133,C=CCNC1=CC=CC=C1,1,C=CCNc1ccccc1,0,1
134,CN1C=C(C2=CC=CC=C2C1=O)OCC3CO3,1,Cn1cc(OCC2CO2)c2ccccc2c1=O,1,1
135,CCC#CCCl,1,CCC#CCCl,0,0
136,C(F)(F)(F)S(=O)(=O)F,1,O=S(=O)(F)C(F)(F)F,0,0
137,C\C(N1CCCC1OS(C)(=O)=O)=N/C(=O)OCC1=CC=C(C=C1)[N+]([O-])=O,1,C/C(=N\C(=O)OCc1ccc([N+](=O)[O-])cc1)N1CCCC1OS(C)(=O)=O,1,1
138,[H][C@]1(S)CCN(C1)C(\C)=N\C(=O)OCC1=CC=C(C=C1)[N+]([O-])=O,1,C/C(=N\C(=O)OCc1ccc([N+](=O)[O-])cc1)N1CC[C@H](S)C1,1,1
139,ClC(=O)C1CCCN1C(=O)OCC1=CC=CC=C1,1,O=C(Cl)C1CCCN1C(=O)OCc1ccccc1,1,0
140,C1=CN=C(C(=N1)Cl)Cl,1,Clc1nccnc1Cl,0,0
141,ClCC1CSC(CCl)CS1,1,ClCC1CSC(CCl)CS1,1,0
142,COCC(C)OCC1CO1,1,COCC(C)OCC1CO1,1,1
143,C1=CC=C(C(=C1)C(=O)C2=CC=C(C=C2)F)Cl,1,O=C(c1ccc(F)cc1)c1ccccc1Cl,0,1
144,C(CNCCNCCN)N.Cl.Cl,1,Cl.Cl.NCCNCCNCCN,1,1
145,C=CCCBr,1,C=CCCBr,1,0
146,CC(=O)N1CCC2=C1C=CC(=C2)[N+](=O)[O-],1,CC(=O)N1CCc2cc([N+](=O)[O-])ccc21,1,1
147,COC(=O)C1=C(N(C)N=C1Cl)S(Cl)(=O)=O,1,COC(=O)c1c(Cl)nn(C)c1S(=O)(=O)Cl,0,0
148,CC(CCl)(C=O)Cl,1,CC(Cl)(C=O)CCl,1,0
149,COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)Cl,1,COc1cc(/C=C/C(=O)Cl)cc(OC)c1OC,0,1
150,C1CNC2=C1C=C(C=C2)[N+](=O)[O-],1,O=[N+]([O-])c1ccc2c(c1)CCN2,1,1
151,C1=CC(=C(C=C1Br)[N+](=O)[O-])O,1,O=[N+]([O-])c1cc(Br)ccc1O,1,1
152,CC1=CC=C(C=C1)C(Cl)Cl,1,Cc1ccc(C(Cl)Cl)cc1,1,1
153,C1C(OC(=O)O1)Cl,1,O=C1OCC(Cl)O1,1,0
154,C1=CC(=CC=C1C(Cl)Cl)F,1,Fc1ccc(C(Cl)Cl)cc1,1,0
155,CC(=O)C1=C(C=C(C=C1)Cl)Cl,1,CC(=O)c1ccc(Cl)cc1Cl,0,1
156,C1(C(OC(=O)O1)Cl)Cl,1,O=C1OC(Cl)C(Cl)O1,1,0
157,CC1=CC(=C(C=C1)S(=O)(=O)Cl)C,1,Cc1ccc(S(=O)(=O)Cl)c(C)c1,0,1
158,CC1=CC=C(C=C1)S(=O)(=O)[N-][N+]#N,1,Cc1ccc(S(=O)(=O)[N-][N+]#N)cc1,1,1
159,CCS(=O)(=O)Cl,1,CCS(=O)(=O)Cl,0,0
160,C(C(F)(F)S(=O)(=O)F)(F)(F)F,1,O=S(=O)(F)C(F)(F)C(F)(F)F,0,0
161,[H][C@]1(O)C[C@@](N)(CC2=C(O)C3=C(C(=O)C4=C(C=CC=C4)C3=O)C(O)=C12)C(C)=O,1,CC(=O)[C@]1(N)Cc2c(O)c3c(c(O)c2[C@@H](O)C1)C(=O)c1ccccc1C3=O,1,1
162,C=C(CN=C=S)Cl,1,C=C(Cl)CN=C=S,1,0
163,C1=C(SC(=N1)Cl)CCl,1,ClCc1cnc(Cl)s1,1,0
164,CC(C)(C)C#C,1,C#CC(C)(C)C,0,0
165,O=C=NCC1CSC(CN=C=O)CS1,1,O=C=NCC1CSC(CN=C=O)CS1,1,0
166,ClC1=C(CCCC1C=O)C=O,1,O=CC1=C(Cl)C(C=O)CCC1,0,0
167,CCN(CC)C1=CC2=C(C=C1)C(=CC(=S)O2)C,1,CCN(CC)c1ccc2c(C)cc(=S)oc2c1,0,1
168,CC(=C)C(=O)OCC1=C2C=CC=CC2=CC3=CC=CC=C31,1,C=C(C)C(=O)OCc1c2ccccc2cc2ccccc12,1,1
169,CN(C)P(N(C)C)(N(C)C)(Cl)Cl,1,CN(C)P(Cl)(Cl)(N(C)C)N(C)C,0,0
170,CCN(CC)C1=CC=C(C=C1)\C=[N+](/[O-])C1=CC=CC=C1,1,CCN(CC)c1ccc(/C=[N+](\[O-])c2ccccc2)cc1,1,1
171,C(CCl)NCCCl.Cl,1,Cl.ClCCNCCCl,1,0
172,C1=CN=C(C=C1C#N)Cl,1,N#Cc1ccnc(Cl)c1,0,0
173,COC(=O)CC1=CC=C(C=C1)CCl,1,COC(=O)Cc1ccc(CCl)cc1,0,1
174,COC1=C(C=C(C=C1)NN)OC.Cl,1,COc1ccc(NN)cc1OC.Cl,1,1
175,C(/C=C/CBr)Br,1,BrC/C=C/CBr,1,0
176,C1CCN(CC1)C2CCN(CC2)C(=O)Cl,1,O=C(Cl)N1CCC(N2CCCCC2)CC1,0,0
177,C(C(=O)C(Cl)(Cl)Cl)(Cl)Cl,1,O=C(C(Cl)Cl)C(Cl)(Cl)Cl,1,1
178,C=CCN1C(=O)N(CC=C)C(=O)N(CC2CO2)C1=O,1,C=CCn1c(=O)n(CC=C)c(=O)n(CC2CO2)c1=O,1,1
179,C(=O)(C(Br)(Br)Br)Cl,1,O=C(Cl)C(Br)(Br)Br,1,1
180,C(CBr)NCCBr.Br,1,Br.BrCCNCCBr,1,0
